,,,,score_tst,score_tst,score_tst,score_tst,score_tst,score_tst,score_tst
,,,,mean,std,tval,pval,significant,ntest,df
dataset,evaluation,adaptation,method,,,,,,,
BNCI2014001,inter-session,no,FBCSP+SVM,0.6059027777777778,0.04883183404027468,-3.052754283118012,0.0362,True,10.0,17.0
BNCI2014001,inter-session,no,TSM+SVM,0.6180555555555556,0.041466138402914805,-4.332217180840694,0.0027,True,10.0,17.0
BNCI2014001,inter-session,no,FB+TSM+LR,0.6977237654320987,0.04774061987177691,0.5094903411733341,0.9929,False,10.0,17.0
BNCI2014001,inter-session,no,EEGNet,0.41820987654320985,0.05837995801463008,-8.463143921934218,0.0001,True,10.0,17.0
BNCI2014001,inter-session,no,ShConvNet,0.5131172839506173,0.022915497538452928,-9.1597420067591,0.0001,True,10.0,17.0
BNCI2014001,inter-session,uda,FBCSP+DSS+LDA,0.713155864197531,0.01827783732233744,1.201567321666225,0.7042,False,10.0,17.0
BNCI2014001,inter-session,uda,URPA+MDM,0.5945216049382717,0.02728035421244395,-5.8717787832700035,0.0004,True,10.0,17.0
BNCI2014001,inter-session,uda,SPDOT+TSM+SVM,0.6684027777777779,0.03791969235529714,-1.2579812245089836,0.6658,False,10.0,17.0
BNCI2014001,inter-session,uda,EEGNet+DANN,0.5003858024691358,0.07693059887909197,-5.638131190669664,0.0004,True,10.0,17.0
BNCI2014001,inter-session,uda,ShConvNet+DANN,0.5160108024691357,0.03246362151280831,-9.867318934534334,0.0001,True,10.0,17.0
BNCI2014001,inter-session,uda,TSMNet+SPDDSMBN,0.6903935185185186,0.0357372640183016,,,,,
BNCI2015001,inter-session,no,FBCSP+SVM,0.8147916666666667,0.04402204495634545,-3.915215811496905,0.0019,True,10.0,27.0
BNCI2015001,inter-session,no,TSM+SVM,0.7571527777777777,0.05050773005318382,-8.87194700487707,0.0001,True,10.0,27.0
BNCI2015001,inter-session,no,FB+TSM+LR,0.8092361111111112,0.06008017994526557,-3.257668353404808,0.0128,True,10.0,27.0
BNCI2015001,inter-session,no,EEGNet,0.7243749999999999,0.0838167199007099,-6.324293745039208,0.0001,True,10.0,27.0
BNCI2015001,inter-session,no,ShConvNet,0.7410416666666667,0.04172006736907046,-7.010286131019603,0.0001,True,10.0,27.0
BNCI2015001,inter-session,uda,FBCSP+DSS+LDA,0.8455555555555555,0.04837562453049523,-1.5914894379409632,0.4579,False,10.0,27.0
BNCI2015001,inter-session,uda,URPA+MDM,0.7918055555555554,0.046268743533414015,-6.886122721197096,0.0001,True,10.0,27.0
BNCI2015001,inter-session,uda,SPDOT+TSM+SVM,0.7754861111111112,0.028506343279897067,-6.623773910324564,0.0001,True,10.0,27.0
BNCI2015001,inter-session,uda,EEGNet+DANN,0.7157638888888888,0.0527883091526444,-5.778875936074386,0.0001,True,10.0,27.0
BNCI2015001,inter-session,uda,ShConvNet+DANN,0.7411111111111112,0.03962189152792658,-7.5960415036310165,0.0001,True,10.0,27.0
BNCI2015001,inter-session,uda,TSMNet+SPDDSMBN,0.8584722222222223,0.04297156450372405,,,,,
Lee2019,inter-session,no,FBCSP+SVM,0.6305555555555555,0.0421645154707534,-6.076927603218947,0.0001,True,10.0,107.0
Lee2019,inter-session,no,TSM+SVM,0.6247222222222221,0.03260547935471303,-6.511855383515544,0.0001,True,10.0,107.0
Lee2019,inter-session,no,FB+TSM+LR,0.6520370370370371,0.04478342947514801,-3.5076174784770653,0.0039,True,10.0,107.0
Lee2019,inter-session,no,EEGNet,0.5121296296296296,0.026843868545044877,-10.898399934983136,0.0001,True,10.0,107.0
Lee2019,inter-session,no,ShConvNet,0.5783333333333333,0.039545601466358785,-10.13867524653731,0.0001,True,10.0,107.0
Lee2019,inter-session,uda,FBCSP+DSS+LDA,0.6683333333333334,0.04059316706811664,-1.700556347755608,0.3792,False,10.0,107.0
Lee2019,inter-session,uda,URPA+MDM,0.6377777777777779,0.04190262407031392,-7.171854193108168,0.0001,True,10.0,107.0
Lee2019,inter-session,uda,SPDOT+TSM+SVM,0.6558333333333332,0.041771678370094184,-3.576156825568426,0.0031,True,10.0,107.0
Lee2019,inter-session,uda,EEGNet+DANN,0.5543518518518518,0.0438668095736099,-10.508207792068529,0.0001,True,10.0,107.0
Lee2019,inter-session,uda,ShConvNet+DANN,0.5906481481481481,0.03391493635691035,-9.452792996857847,0.0001,True,10.0,107.0
Lee2019,inter-session,uda,TSMNet+SPDDSMBN,0.6816666666666664,0.04059316706811663,,,,,
Stieger2021,inter-session,no,FBCSP+SVM,0.47474195264592184,0.06965750051348552,-38.58925408446526,0.0001,True,10.0,411.0
Stieger2021,inter-session,no,TSM+SVM,0.49518248471157833,0.08146857419551888,-32.22868909039961,0.0001,True,10.0,411.0
Stieger2021,inter-session,no,FB+TSM+LR,0.5727732824255308,0.07295417421827709,-22.160339254442956,0.0001,True,10.0,411.0
Stieger2021,inter-session,no,EEGNet,0.583076249727424,0.0793754326299441,-17.560516979037416,0.0001,True,10.0,411.0
Stieger2021,inter-session,no,ShConvNet,0.6012498467323064,0.06584577607363261,-15.21216785177386,0.0001,True,10.0,411.0
Stieger2021,inter-session,uda,FBCSP+DSS+LDA,0.5937404172956872,0.06622594130906168,-20.117104838921765,0.0001,True,10.0,411.0
Stieger2021,inter-session,uda,URPA+MDM,0.47004638749893807,0.06565060465752613,-39.43554598475097,0.0001,True,10.0,411.0
Stieger2021,inter-session,uda,SPDOT+TSM+SVM,0.5030395623796465,0.05809969056849087,-35.902720063303285,0.0001,True,10.0,411.0
Stieger2021,inter-session,uda,EEGNet+DANN,0.6009268624569811,0.06855458378012487,-15.048472742084618,0.0001,True,10.0,411.0
Stieger2021,inter-session,uda,ShConvNet+DANN,0.6130094216410911,0.060181106246468476,-11.970372370434228,0.0001,True,10.0,411.0
Stieger2021,inter-session,uda,TSMNet+SPDDSMBN,0.6479673736634325,0.0682180106128011,,,,,
Lehner2021,inter-session,no,FBCSP+SVM,0.6894999794391976,0.05975738057231232,-2.5527579437732237,0.21875,False,10.0,6.0
Lehner2021,inter-session,no,TSM+SVM,0.6268653830955199,0.09148174501013358,-4.009044791786666,0.0625,False,10.0,6.0
Lehner2021,inter-session,no,FB+TSM+LR,0.7298834855539725,0.09645180346599017,-1.3237738857271837,0.625,False,10.0,6.0
Lehner2021,inter-session,no,EEGNet,0.4964478605567911,0.06415848608043023,-5.723990657678158,0.015625,True,10.0,6.0
Lehner2021,inter-session,no,ShConvNet,0.5632370108946265,0.07282676787387288,-4.896092202618426,0.046875,True,10.0,6.0
Lehner2021,inter-session,uda,FBCSP+DSS+LDA,0.771475865812331,0.08411857311216502,-0.3667422101502368,1.0,False,10.0,6.0
Lehner2021,inter-session,uda,URPA+MDM,0.7075889677957451,0.08243927759689254,-3.5644392241938005,0.09375,False,10.0,6.0
Lehner2021,inter-session,uda,SPDOT+TSM+SVM,0.6302585011656598,0.09200039826632342,-7.8393126712146035,0.015625,True,10.0,6.0
Lehner2021,inter-session,uda,EEGNet+DANN,0.49828135673320795,0.037001656058128454,-5.781269333699292,0.015625,True,10.0,6.0
Lehner2021,inter-session,uda,ShConvNet+DANN,0.5748550210243758,0.07562084558064576,-6.5053218695571555,0.015625,True,10.0,6.0
Lehner2021,inter-session,uda,TSMNet+SPDDSMBN,0.7770797335209183,0.1001474021279495,,,,,
Hehenberger2021,inter-session,no,FBCSP+SVM,0.5249071294830475,0.07083834115207607,-4.069670245769161,0.0038,True,10.0,25.0
Hehenberger2021,inter-session,no,TSM+SVM,0.44823939082875225,0.07346487677027261,-8.06498816222096,0.0001,True,10.0,25.0
Hehenberger2021,inter-session,no,FB+TSM+LR,0.5219976970370046,0.05987677358853285,-4.386986171595486,0.0025,True,10.0,25.0
Hehenberger2021,inter-session,no,EEGNet,0.4818019891256238,0.06325833212544428,-8.792087266552576,0.0001,True,10.0,25.0
Hehenberger2021,inter-session,no,ShConvNet,0.529652749011827,0.05099567558160605,-5.3133336749933395,0.0006,True,10.0,25.0
Hehenberger2021,inter-session,uda,FBCSP+DSS+LDA,0.5643717007462349,0.05329187890740639,-1.3140338936304972,0.6264,False,10.0,25.0
Hehenberger2021,inter-session,uda,URPA+MDM,0.46605897526623075,0.07219173389168831,-11.951118208594194,0.0001,True,10.0,25.0
Hehenberger2021,inter-session,uda,SPDOT+TSM+SVM,0.4588526674283636,0.06015950956463742,-9.420173045415803,0.0001,True,10.0,25.0
Hehenberger2021,inter-session,uda,EEGNet+DANN,0.49257807766735306,0.06741056044560796,-7.182916658843585,0.0001,True,10.0,25.0
Hehenberger2021,inter-session,uda,ShConvNet+DANN,0.5395512213206622,0.0507390484029627,-3.59662974621793,0.0111,True,10.0,25.0
Hehenberger2021,inter-session,uda,TSMNet+SPDDSMBN,0.5783411644975314,0.0582380022888356,,,,,
Hinss2021,inter-session,no,FBCSP+SVM,0.4368381804623415,0.0818366684863178,-4.440899470181982,0.001,True,10.0,29.0
Hinss2021,inter-session,no,TSM+SVM,0.3680089485458613,0.04545309808969456,-9.0366319607305,0.0001,True,10.0,29.0
Hinss2021,inter-session,no,FB+TSM+LR,0.40753169276659207,0.07076340793082377,-6.571462128360987,0.0001,True,10.0,29.0
Hinss2021,inter-session,no,EEGNet,0.462565249813572,0.10134669898885491,-3.707130671138615,0.0074,True,10.0,29.0
Hinss2021,inter-session,no,ShConvNet,0.4888143176733781,0.07350535816361277,-2.674927778699703,0.0674,False,10.0,29.0
Hinss2021,inter-session,uda,FBCSP+DSS+LDA,0.47084265473527226,0.0738217370366269,-4.131325939114058,0.0024,True,10.0,29.0
